,bias,treshold,mu_p_ask,mu_p_answer,mu_p_upvote,mu_p_active
0,"[33612, 33753, 34046, 33554, 33761, 33859, 33832, 33888, 33893, 33678]","[20096, 19924, 19753, 19846, 19876, 19783, 19855, 20075, 19949, 19572]","[9755, 9672, 9541, 9442, 9621, 9440, 9792, 9676, 9625, 9631]","[18997, 18558, 18706, 18653, 18888, 19025, 19034, 18846, 18715, 18870]","[16628, 16328, 16457, 16497, 16080, 16225, 16563, 16259, 16238, 16437]","[16220, 16344, 16214, 16171, 16462, 16533, 16277, 16197, 16225, 16141]"
1,"[30903, 31263, 31181, 31414, 31141, 31275, 31133, 31355, 31418, 31186]","[18792, 18661, 19078, 18615, 18470, 18922, 19007, 18885, 18855, 18934]","[10807, 10783, 10443, 10444, 10703, 10485, 10638, 10580, 10502, 10528]","[18930, 18926, 19005, 19000, 18602, 18752, 18736, 18951, 18921, 18607]","[16720, 16561, 16616, 16630, 16451, 16499, 16332, 16560, 16569, 16404]","[16383, 16553, 16529, 16475, 16456, 16422, 16396, 16383, 16382, 16355]"
2,"[26101, 26221, 25794, 26229, 26027, 25763, 26121, 26077, 26316, 25979]","[18560, 18751, 19019, 18754, 18748, 18981, 18902, 18970, 18747, 18619]","[11671, 11833, 11678, 11849, 11691, 11686, 11638, 11704, 11630, 11603]","[18975, 19069, 18769, 18869, 18957, 19022, 19015, 18864, 18743, 19156]","[17016, 16853, 16845, 16690, 16673, 16527, 16935, 16796, 16630, 17032]","[16493, 16675, 16492, 16494, 16792, 16539, 16702, 16542, 16652, 16530]"
3,"[21677, 21772, 21601, 21492, 21914, 21898, 21794, 21824, 21917, 21892]","[19008, 18834, 18847, 18926, 18838, 18755, 18986, 18871, 19085, 18745]","[12624, 12737, 12986, 12839, 12794, 12662, 12727, 12845, 12862, 13194]","[19163, 19121, 18782, 19037, 18854, 19153, 18831, 18765, 19159, 18918]","[16760, 17061, 17263, 16988, 17028, 16957, 17303, 17272, 17050, 17257]","[16880, 16980, 17012, 17236, 16991, 17046, 17059, 16953, 17056, 17052]"
4,"[19335, 19213, 19300, 19450, 19437, 19313, 19301, 19399, 19308, 19436]","[18976, 18749, 19063, 18906, 18342, 18931, 18919, 18964, 18728, 18673]","[13940, 14226, 14233, 14237, 14184, 14063, 14170, 14250, 14368, 14255]","[18859, 18650, 18708, 19102, 19007, 18913, 18874, 18970, 18813, 18836]","[17543, 17514, 17476, 17245, 17490, 17167, 17323, 17460, 17429, 17148]","[17534, 17190, 17620, 17225, 17384, 17286, 17414, 17179, 17367, 17278]"
5,"[17734, 17963, 17776, 17943, 18006, 17829, 17732, 18061, 17816, 17585]","[18627, 18913, 18663, 18920, 18605, 18784, 18923, 18580, 18954, 18467]","[15596, 15812, 15549, 15589, 15493, 15469, 15592, 15458, 15557, 15746]","[18970, 18964, 18615, 18701, 18950, 19032, 18784, 18814, 18937, 18852]","[18021, 18211, 17838, 17797, 17773, 17692, 17710, 18087, 17656, 17516]","[17899, 17868, 17813, 17902, 17910, 17663, 17857, 17898, 18180, 18141]"
6,"[17086, 17311, 16880, 17201, 17003, 17161, 17039, 17025, 17100, 17099]","[18522, 18804, 18370, 18478, 18637, 18692, 18670, 18599, 18714, 18770]","[17262, 17285, 16901, 17209, 17129, 17278, 17092, 17132, 17193, 17198]","[18764, 18602, 18737, 18987, 18869, 18860, 18829, 18642, 18732, 18850]","[18397, 18243, 18184, 18326, 18310, 18396, 18355, 18567, 18328, 18456]","[18364, 18477, 18083, 18269, 18092, 18273, 18165, 18246, 18359, 18481]"
7,"[16711, 16714, 16606, 16578, 16829, 16584, 16475, 16595, 16669, 16571]","[18633, 18777, 18728, 18638, 18726, 18762, 18392, 18525, 18556, 18593]","[18823, 18543, 18628, 18721, 18624, 18550, 18585, 18562, 18733, 18856]","[18994, 18907, 18752, 18877, 18586, 18542, 18618, 18981, 18742, 18733]","[19091, 18769, 18707, 18613, 18709, 18873, 18615, 18571, 18857, 18685]","[18523, 18824, 18890, 18675, 19091, 18703, 19052, 18771, 18670, 18683]"
8,"[16467, 16540, 16648, 16456, 16325, 16176, 16450, 16516, 16160, 16466]","[18841, 18401, 18590, 18554, 18534, 18335, 18663, 18411, 18507, 18654]","[20399, 20452, 20556, 20442, 20314, 20382, 20545, 20362, 20433, 20197]","[18859, 18350, 18563, 18844, 18711, 18595, 18607, 18739, 18771, 18629]","[19120, 19144, 19252, 18870, 18870, 19251, 18998, 18814, 19078, 18932]","[19092, 19186, 19144, 19150, 18956, 19042, 18962, 19125, 18979, 19082]"
9,"[16471, 16358, 16370, 16243, 16285, 16134, 16189, 16166, 16515, 16336]","[18641, 18489, 18500, 18467, 18251, 18697, 18639, 18383, 18442, 18544]","[22058, 21754, 21870, 21858, 21892, 22030, 22064, 22174, 22116, 21760]","[18838, 18700, 18486, 18780, 18494, 18790, 18786, 18713, 18584, 18654]","[19294, 19785, 19599, 19519, 19372, 19916, 19350, 19553, 19743, 19553]","[19480, 19352, 19520, 19144, 19387, 19291, 19465, 19406, 19400, 19324]"
10,"[16114, 16448, 16074, 16416, 16370, 16358, 16414, 16224, 16174, 16550]","[18397, 18666, 18369, 18476, 18554, 18521, 18523, 18384, 18689, 18216]","[23530, 23469, 23448, 23557, 23455, 23461, 23844, 23805, 23853, 23290]","[18672, 18678, 18738, 18742, 18799, 18737, 18231, 18868, 18564, 18873]","[19683, 20100, 19786, 20039, 20057, 20296, 20058, 19877, 20029, 19891]","[19462, 19759, 19874, 19535, 19747, 19594, 19601, 19644, 19452, 19540]"
11,"[16120, 16324, 16096, 16312, 16478, 16213, 16032, 16135, 16238, 16598]","[18363, 18353, 18329, 18453, 18579, 18613, 18573, 18395, 18421, 18514]","[25012, 25061, 25008, 25009, 25153, 24726, 25135, 24809, 25321, 25140]","[18408, 18438, 18640, 18445, 18629, 18398, 18470, 18661, 18485, 18748]","[20284, 20266, 20014, 20028, 20236, 20365, 20238, 20103, 20284, 20068]","[19704, 19779, 19867, 19706, 19589, 19880, 19916, 19719, 19744, 19799]"
12,"[15851, 16083, 16367, 16065, 16334, 15876, 16066, 16163, 16108, 16218]","[18205, 18010, 17982, 18191, 17909, 18186, 18272, 17790, 18062, 17985]","[26214, 26405, 26088, 26406, 26314, 26311, 26148, 26385, 26472, 26468]","[18665, 18567, 18836, 18716, 18399, 18368, 18606, 18730, 18463, 18747]","[20417, 20412, 20550, 20311, 20391, 20387, 20398, 20486, 20486, 20403]","[20188, 20222, 19864, 20213, 20310, 19902, 20313, 20112, 20263, 19940]"
13,"[16429, 16200, 16297, 16298, 15971, 16280, 16032, 16143, 16249, 16134]","[17586, 17775, 18088, 17986, 18098, 18092, 18149, 18141, 18232, 18041]","[27812, 27643, 27621, 27374, 27611, 27818, 27638, 27481, 27466, 27663]","[18367, 18455, 18492, 18551, 18483, 18372, 18554, 18491, 18229, 18765]","[20742, 20829, 20616, 20848, 20762, 20894, 20720, 20851, 20800, 20901]","[20213, 20052, 20118, 20024, 20164, 20274, 20231, 20097, 20282, 20181]"
14,"[16273, 16274, 16102, 16134, 16024, 16209, 16239, 16263, 16149, 16381]","[17794, 18007, 18118, 17963, 18111, 18058, 17748, 17873, 18038, 18120]","[28915, 28891, 28679, 28783, 28384, 28845, 28923, 28795, 28702, 28859]","[18351, 18303, 18509, 18343, 18501, 18425, 18572, 18017, 18354, 18269]","[21184, 20914, 21171, 21004, 21010, 20825, 21291, 20890, 21051, 21054]","[20296, 20550, 20594, 20359, 20433, 20311, 20258, 20438, 20350, 20217]"
